date,open,high,low,close,volume
2019-01-01,49.9421,50.2288,49.8345,50.1209,1309622
2019-01-02,50.1109,51.2365,49.6182,50.7377,1405087
2019-01-03,50.8669,51.1093,50.6746,50.9168,1181947
2019-01-04,50.8862,50.9671,50.2462,50.3262,1166916
2019-01-07,50.6563,50.7804,50.1594,50.2826,1253510
2019-01-08,50.2462,50.2527,49.9736,49.9800,1509282
2019-01-09,49.7634,50.0628,48.7329,49.0280,1624328
2019-01-10,49.3886,49.8499,48.2338,48.6885,1449838
2019-01-11,48.8749,49.8373,48.4817,49.4395,1930535
2019-01-14,49.5639,49.6781,49.0440,49.1572,1512647
2019-01-15,49.3825,50.1822,49.1556,49.9527,1533663
2019-01-16,49.9695,51.0594,49.5907,50.6753,1238441
2019-01-17,50.6382,51.3552,50.6249,51.3418,1513844
2019-01-18,51.4962,52.2963,51.3929,52.1917,1580943
2019-01-21,52.1027,53.8265,51.7714,53.4864,2236432
2019-01-22,53.9908,54.1258,53.1319,53.2651,1239897
2019-01-23,52.8750,53.1214,52.2386,52.4832,1342900
2019-01-24,52.3087,53.2007,50.5880,51.4655,1636500
2019-01-25,51.7265,52.6246,51.4934,52.3886,2131764
2019-01-28,52.5334,52.5738,51.8757,51.9156,1027770
2019-01-29,52.0447,52.6930,51.3223,51.9697,1123793
2019-01-30,51.9899,52.3731,50.7253,51.1019,1205505
2019-01-31,50.7087,52.1539,50.3352,51.7725,1832948
2019-02-01,52.0219,52.5110,51.4162,51.9042,1315971
2019-02-04,51.8972,52.4501,50.7909,51.3378,1644112
2019-02-05,51.3979,51.4188,50.6552,50.6758,1648284
2019-02-06,50.5797,51.1954,50.1606,50.7747,957569
2019-02-07,50.8964,51.6723,50.5238,51.2968,1806231
2019-02-08,50.9386,51.6707,50.6810,51.4108,970813
2019-02-11,51.3973,51.6859,50.1375,50.4207,1977824
2019-02-12,50.3049,50.7592,50.1062,50.5595,1360616
2019-02-13,50.6573,50.9471,50.4831,50.7726,1482345
2019-02-14,50.5666,51.3935,49.4481,50.2702,1144681
2019-02-15,50.3605,50.6834,49.0677,49.3843,1638236
2019-02-18,49.4755,50.0567,49.3058,49.8857,1588227
2019-02-19,50.0604,50.2529,49.6103,49.8018,1178486
2019-02-20,49.6875,50.1346,49.2804,49.7271,925169
2019-02-21,49.9707,50.4921,48.4360,48.9466,1730853
2019-02-22,49.2087,49.5275,48.4617,48.7777,896457
2019-02-25,48.7596,49.5820,48.2702,49.0894,1561418
2019-02-26,48.9091,49.0985,48.6510,48.8401,1075964
2019-02-27,48.7320,49.3916,48.2164,48.8745,1156711
2019-02-28,48.9539,49.2520,48.5804,48.8780,843337
2019-03-01,49.2996,49.3170,49.0670,49.0843,1495960
2019-03-04,49.0299,49.1076,49.0186,49.0962,890080
2019-03-05,48.7753,50.6325,48.1017,49.9428,1744052
2019-03-06,50.1574,50.8334,49.2381,49.9108,799135
2019-03-07,49.8126,49.8506,49.3651,49.4028,1085261
2019-03-08,49.6649,50.5724,49.3610,50.2648,2124682
2019-03-11,50.4450,50.7973,49.0720,49.4171,1944072
2019-03-12,49.7679,50.2348,48.4873,48.9464,1601591
2019-03-13,49.1035,51.1746,48.6874,50.7446,2880317
2019-03-14,50.8517,51.3038,50.5724,51.0236,1370012
2019-03-15,51.4490,51.4748,51.1197,51.1453,793506
2019-03-18,50.9389,51.6933,50.2248,50.9786,1379449
2019-03-19,51.2894,51.7050,50.6320,51.0456,850883
2019-03-20,51.0375,51.4181,50.1932,50.5703,1443098
2019-03-21,50.3354,50.4127,49.9962,50.0731,1325256
2019-03-22,49.8025,50.2551,49.7395,50.1917,1213661
2019-03-25,50.0006,50.4153,49.7015,50.1155,1347964
2019-03-26,50.1770,50.5317,49.9174,50.2716,1093441
